,Aspect,Elevation,Hillshade_3pm,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Slope,Soil_Type1,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type17,Soil_Type2,Soil_Type22,Soil_Type23,Soil_Type29,Soil_Type3,Soil_Type30,Soil_Type35,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type4,Soil_Type40,Soil_Type5,Soil_Type6,Vertical_Distance_To_Hydrology,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4
40,347,2699,159,213,234,6853,0,2096,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,346,2570,158,215,235,5745,0,331,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,71,2533,126,230,223,5552,150,577,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,0,0,0
43,330,2703,184,146,197,6186,30,3141,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0
44,128,2678,141,229,236,6546,95,1660,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0
45,68,2529,130,228,225,5484,210,666,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,0,0,0
46,94,2524,130,232,229,5474,212,684,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,1,0,0,0
47,99,2536,136,230,232,5475,234,659,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,66,2498,135,227,227,5357,95,900,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
49,100,2489,131,232,231,5334,85,810,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0
50,117,2713,48,254,198,6039,60,3297,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,0,0,0
51,323,2739,192,149,205,6219,85,3118,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0
52,72,2696,149,222,234,6071,30,3271,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,2510,106,237,215,5325,192,891,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0
54,81,2502,129,230,227,5316,175,912,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0
55,315,2722,200,148,212,6132,30,3216,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0
56,74,2500,116,233,219,5279,190,930,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0
57,68,2486,139,225,230,5262,180,870,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,1,0,0,0
58,11,2489,153,216,232,5254,175,840,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0
59,42,2489,141,221,227,5247,162,810,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0
60,75,2490,137,227,230,5218,134,810,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0
61,107,2952,116,239,226,3509,42,5845,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
62,90,2705,129,232,228,6615,134,2023,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0
63,40,2507,138,221,224,5221,153,930,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
64,49,2500,116,225,210,5205,150,870,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0
65,63,2493,124,229,221,5197,127,840,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0
66,59,2509,134,226,226,5184,134,900,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
67,13,2919,142,207,214,4060,90,5321,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
68,54,2740,138,224,227,6686,218,2287,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0
69,80,2640,127,231,225,5866,180,1092,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0
70,166,2843,144,230,244,4956,242,4434,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,1,0,0,0
71,45,3008,116,223,208,3036,277,6371,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
72,114,2893,102,245,223,4340,108,5066,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0
73,6,2850,151,210,223,4548,0,4858,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,30,2628,136,217,218,5645,240,960,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0
75,118,2864,93,248,221,4849,201,4567,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,1,0,0,0
76,160,2827,108,235,233,5474,134,3948,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,1,0,0,0
77,326,2529,166,207,234,5047,30,1062,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0
78,99,2808,130,233,230,6341,382,3107,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,0,0
79,153,2840,102,241,231,4833,134,4613,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,1,0,0,0
80,79,2795,121,233,223,6497,531,2980,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
81,143,2746,119,241,235,6597,67,2440,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0
82,352,2847,152,166,187,5796,150,3697,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,1,0,0,0
83,14,2840,140,206,210,5944,216,3552,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0,0,0
84,42,2537,137,222,224,4919,210,1132,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0
85,358,2860,151,191,206,5800,175,3705,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,98,1,0,0,0
86,332,2818,181,151,197,4978,30,4526,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0
87,18,2801,148,215,226,6457,560,3084,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0
88,63,2791,124,229,221,6606,418,2942,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,0
89,306,2745,184,190,234,6428,67,2416,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0
90,102,2514,137,230,233,4811,272,1082,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,0,0,0
91,13,2788,137,203,206,5396,30,4126,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
92,354,2562,156,200,218,5031,67,1057,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0
93,173,3073,149,227,246,2735,108,6836,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3,1,0,0,0
94,71,2978,121,231,221,3792,426,5742,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,1,0,0,0
95,31,2860,135,218,218,5904,295,3644,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,0,0
96,164,3067,144,230,243,2774,85,6811,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
97,72,2804,141,225,231,6471,543,3115,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,0
98,59,2562,148,221,233,5091,0,1116,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,34,2567,138,219,221,4924,190,1136,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0
100,45,2998,134,223,222,3721,351,5842,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0
101,84,2684,113,237,220,5693,150,1677,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
102,42,2676,128,222,216,5655,150,1634,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-5,1,0,0,0
103,102,2863,100,244,219,5184,190,4389,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0
104,170,2574,153,224,242,4910,170,1180,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0
105,211,2511,166,216,245,4660,162,1071,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0
106,32,3067,147,219,230,2947,30,6679,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0
107,57,2909,102,229,203,4084,134,5502,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0
108,348,2863,161,193,216,5695,309,3918,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,1,0,0,0
109,333,2567,158,216,237,5079,0,1266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,105,3182,115,240,226,1184,408,6000,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0
111,324,2818,177,189,227,5467,242,4156,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0
112,332,2752,165,207,233,6131,342,2372,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0
113,88,2751,137,228,231,6088,400,2322,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0
114,102,2569,132,232,231,4844,228,1266,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0
115,111,3195,101,245,222,1206,469,5941,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0
116,53,2982,112,227,209,3880,240,5756,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,1,0,0,0
117,58,2850,137,225,227,5239,295,4394,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0
118,76,2586,143,225,232,4875,190,1290,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0
119,17,2837,138,208,211,5428,330,4241,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0
120,99,2723,136,230,232,5793,301,2109,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0
121,0,3070,153,204,220,2858,30,6890,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-6,1,0,0,0
122,124,3057,118,240,231,3211,150,6508,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,1,0,0,0
123,119,2818,92,248,220,4497,30,5213,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
124,320,2847,199,120,190,4727,85,4983,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0
125,112,2606,119,239,228,5106,30,1584,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
126,83,2893,135,229,230,5755,551,4011,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,0
127,1,2716,153,206,222,5581,234,2100,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0
128,125,2644,90,249,221,5168,67,1719,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0
129,37,2613,146,220,229,4818,216,1519,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0
130,356,2929,155,201,219,4017,0,5757,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,307,2767,186,187,233,6192,30,2796,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
132,49,2991,117,225,211,3613,85,6199,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,56,2939,98,229,200,4224,95,5563,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0
134,7,2537,148,205,216,4509,0,1583,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,119,3119,133,233,234,2556,162,6660,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
136,346,2942,162,197,221,3900,30,5918,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
137,12,2886,150,213,226,5518,570,4295,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,1,0,0,0
138,344,2775,164,194,219,6177,42,2854,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
139,79,2490,124,232,224,4184,240,878,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0
140,228,3106,196,191,254,1655,658,5984,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108,1,0,0,0
141,284,2831,222,145,232,4611,60,5208,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0
142,112,2837,128,235,231,6221,272,3649,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0
143,299,2890,212,150,224,4734,180,5104,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0
144,135,2824,144,227,238,6316,218,3583,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
145,135,2728,150,224,238,5515,242,2250,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0
146,88,2962,95,242,212,3811,190,6095,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0
147,220,3142,179,207,251,1989,424,6216,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,1,0,0,0
148,2,2847,154,212,229,6194,175,3757,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
149,34,2536,146,219,228,4201,242,1242,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0
150,95,3168,136,229,231,1239,30,4884,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151,289,2926,220,145,228,4814,210,5126,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,0
152,21,2893,148,216,227,5865,295,4106,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0
153,20,2687,140,212,217,4936,150,1986,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0
154,211,3109,181,204,254,2017,424,6089,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0
155,200,3119,172,208,253,2377,60,6297,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,349,2916,160,202,223,5502,488,4472,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0
157,18,2795,153,217,233,6073,218,3042,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0
158,58,2555,109,230,209,4159,285,1231,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0
159,42,2499,123,222,212,3950,497,953,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,1,0,0,0
160,173,3027,149,227,245,1900,335,5678,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0
161,160,3096,135,234,242,2310,85,6156,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0
162,105,2916,108,242,223,4417,268,5618,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,1,0,0,0
163,42,2591,125,222,213,4224,350,1398,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0
164,328,3185,180,178,219,1392,127,4763,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0
165,221,3021,177,208,250,1937,324,5675,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0
166,257,3083,171,209,242,2873,510,6363,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-25,1,0,0,0
167,276,2860,240,115,226,4759,60,5292,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0
168,196,3008,166,215,251,1924,228,5535,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0
169,189,3034,160,220,250,2012,384,5754,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,1,0,0,0
170,130,2873,110,244,230,6091,67,4030,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0,0,0
171,49,3182,118,225,211,1513,319,4767,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
172,102,2998,114,239,225,4121,384,6026,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158,1,0,0,0
173,357,2658,149,184,199,4286,300,1597,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0
174,15,3175,149,214,226,1584,366,4816,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92,1,0,0,0
175,8,2952,152,212,227,5192,488,4953,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1,0,0,0
176,95,2622,112,239,222,4086,484,1329,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0
177,288,2955,215,156,233,4968,247,5224,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1,0,0,0
178,66,2837,124,229,221,6341,201,3655,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0
179,45,3182,149,220,232,1661,458,4723,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,109,1,0,0,0
180,129,3077,147,225,237,3261,618,6296,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0
181,320,2755,165,209,236,5468,30,2890,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0
182,28,3047,134,216,215,3540,600,6414,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0
